Unnamed: 0,Address,Suburb,Prices,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Longitude,Latitude
3884,"50 Alfred Street, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,475.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,144.939313,37.790483
3885,"22 Wolfson Street, 
TARNEIT VIC 3029",TARNEIT,475.0,18637.0,4123.0,60.2,12389.0,0.0,0.0,52.0,60.0,31.0,102.0,29.0,58.0,9.0,236.0,4934.0,813.0,30.0,760.0,1481.0,44.0,569.0,144.644227,37.847734
3886,"38A Bainbridge Close, 
CRAIGIEBURN VIC 3064",CRAIGIEBURN,480.0,57607.0,11196.5,125.9,38853.0,0.0,0.0,161.0,196.0,94.0,272.0,53.0,158.0,19.0,220.0,15458.0,2030.0,204.0,1523.0,4657.0,129.0,1266.0,144.93661,37.601525
3887,"13 Kristini Place, 
TRUGANINA VIC 3029",TRUGANINA,480.0,38668.0,6433.6,91.8,26146.0,0.0,0.0,58.0,153.0,77.0,277.0,45.0,172.0,30.0,316.0,10431.0,978.0,40.0,1174.0,3216.0,130.0,1032.0,144.716605,37.838003
3888,"9 Yaleri Rise, 
WERRIBEE VIC 3030",WERRIBEE,480.0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,144.614311,37.903164
3889,"50 Childers Street, 
CRANBOURNE VIC 3977",CRANBOURNE,320.0,122174.0,12938.6,225.6,80567.0,0.0,0.0,535.0,302.0,154.0,481.0,67.0,305.0,25.0,625.0,35593.0,4164.0,409.0,2687.0,9314.0,602.0,2037.0,145.28737,38.112394
3890,"52 Childers Street, 
CRANBOURNE VIC 3977",CRANBOURNE,320.0,122174.0,12938.6,225.6,80567.0,0.0,0.0,535.0,302.0,154.0,481.0,67.0,305.0,25.0,625.0,35593.0,4164.0,409.0,2687.0,9314.0,602.0,2037.0,145.28737,38.112394
3891,"101 Ballarat Road, 
FOOTSCRAY VIC 3011",FOOTSCRAY,309.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,144.896189,37.793773
3892,"8/46 Princes Highway, 
DANDENONG VIC 3175",DANDENONG,310.0,54169.0,5306.299999999999,105.8,35871.0,0.0,0.0,207.0,259.0,263.0,438.0,69.0,331.0,24.0,110.0,12152.0,5534.0,2756.0,992.0,7356.0,1157.0,1364.0,145.218286,37.996415
3893,"1/145 Princes Highway, 
DANDENONG VIC 3175",DANDENONG,310.0,54169.0,5306.299999999999,105.8,35871.0,0.0,0.0,207.0,259.0,263.0,438.0,69.0,331.0,24.0,110.0,12152.0,5534.0,2756.0,992.0,7356.0,1157.0,1364.0,145.218286,37.996415
3894,"2/10 Bowen Street, 
MOONEE PONDS VIC 3039",MOONEE PONDS,310.0,16406.0,3767.1,37.9,11601.0,0.0,0.0,31.0,229.0,123.0,88.0,37.0,115.0,11.0,84.0,3335.0,1260.0,3450.0,400.0,2648.0,72.0,853.0,144.909358,37.769883
3895,"11/9 Murrumbeena Road, 
MURRUMBEENA VIC 3163",MURRUMBEENA,310.0,9471.0,3766.1,37.8,6581.0,0.0,0.0,16.0,57.0,56.0,44.0,13.0,38.0,3.0,19.0,1970.0,1105.0,1185.0,390.0,1321.0,36.0,400.0,145.064846,37.898666
3896,"104/64 Wellington Street, 
ST KILDA VIC 3182",ST KILDA,310.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,144.98941,37.857211
3897,"96A Silvereye Crescent, 
WERRIBEE VIC 3030",WERRIBEE,310.0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,144.675719,37.879149
3898,"26/18-20 Glen Street, 
WERRIBEE VIC 3030",WERRIBEE,325.0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,,
3899,"1 Landy Close, 
MILL PARK VIC 3082",MILL PARK,700.0,28989.0,4469.6,79.5,19968.0,0.0,0.0,194.0,139.0,60.0,110.0,33.0,115.0,6.0,14.0,9397.0,1082.0,289.0,734.0,2288.0,128.0,524.0,145.053997,37.668688
3900,"6 Primrose Street, 
MOONEE PONDS VIC 3039",MOONEE PONDS,695.0,16406.0,3767.1,37.9,11601.0,0.0,0.0,31.0,229.0,123.0,88.0,37.0,115.0,11.0,84.0,3335.0,1260.0,3450.0,400.0,2648.0,72.0,853.0,144.927584,37.758335
3901,"4/141 Park Street, 
MOONEE PONDS VIC 3039",MOONEE PONDS,700.0,16406.0,3767.1,37.9,11601.0,0.0,0.0,31.0,229.0,123.0,88.0,37.0,115.0,11.0,84.0,3335.0,1260.0,3450.0,400.0,2648.0,72.0,853.0,144.909202,37.760857
3902,"207/56 Nicholson Street, 
ABBOTSFORD VIC 3067",ABBOTSFORD,625.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,144.996942,37.804233
3903,"95 Danks Street, 
ALBERT PARK VIC 3206",ALBERT PARK,625.0,16023.0,3427.6,41.5,10934.0,0.0,0.0,25.0,346.0,558.0,228.0,92.0,181.0,8.0,77.0,834.0,2943.0,5435.0,493.0,3118.0,34.0,700.0,144.948712,37.845442
3904,"38 Willis Street, 
ARMADALE VIC 3143",ARMADALE,625.0,9436.0,4321.5,38.0,6445.0,0.0,0.0,12.0,208.0,134.0,61.0,29.0,81.0,3.0,68.0,1281.0,863.0,3223.0,421.0,1921.0,27.0,438.0,145.027763,37.857157
3905,"2/100 The Parade, 
ASCOT VALE VIC 3032",ASCOT VALE,625.0,15351.0,4001.7,37.1,10752.0,0.0,0.0,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,144.912263,37.772372
3906,"3 Tucker Road, 
BENTLEIGH VIC 3204",BENTLEIGH,625.0,30909.0,6728.2,79.69999999999999,19882.0,0.0,0.0,59.0,197.0,130.0,132.0,67.0,139.0,9.0,123.0,8184.0,1727.0,2075.0,998.0,2642.0,78.0,552.0,145.05038,37.923173
3907,"6/69 Little Oxford Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,625.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,144.984154,37.804452
3908,"815/673 La Trobe Street, 
DOCKLANDS VIC 3008",DOCKLANDS,625.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
3909,ELWOOD VIC 3184,ELWOOD,625.0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,144.985549,37.878857
3910,"101/96 Ormond Road, 
ELWOOD VIC 3184",ELWOOD,625.0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,144.986349,37.884643
3911,"3 East Road, 
SEAFORD VIC 3198",SEAFORD,450.0,17359.0,1396.3,40.4,11240.0,0.0,0.0,138.0,59.0,41.0,80.0,26.0,52.0,3.0,32.0,5983.0,1939.0,250.0,351.0,2368.0,41.0,264.0,145.140963,38.104523
3912,"705/69-71 Stead Street, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,450.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,,
3913,"2/27 Kumara Circuit, 
SOUTH MORANG VIC 3752",SOUTH MORANG,450.0,25227.0,2543.2,72.0,17214.0,0.0,0.0,94.0,101.0,52.0,99.0,25.0,64.0,8.0,55.0,7094.0,1354.0,37.0,780.0,1648.0,38.0,562.0,145.084655,37.63505
3914,"77 Cameo Crescent, 
SOUTH MORANG VIC 3752",SOUTH MORANG,450.0,25227.0,2543.2,72.0,17214.0,0.0,0.0,94.0,101.0,52.0,99.0,25.0,64.0,8.0,55.0,7094.0,1354.0,37.0,780.0,1648.0,38.0,562.0,,
3915,"203/5-7 Wilson Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,450.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,,
3916,"805/665 Chapel Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,450.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,,
3917,"218/8 Daly Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,450.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.995078,37.838024
3918,"9/4 Gordon Grove, 
SOUTH YARRA VIC 3141",SOUTH YARRA,450.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.989074,37.833591
3919,"10/14 Tivoli Pl, 
SOUTH YARRA VIC 3141",SOUTH YARRA,450.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.986934,37.835913
3920,"2/13 Motherwell Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,450.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,145.000506,37.845768
3921,"1205/3 Yarra Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,450.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.9931,37.835947
3922,"8/28 The Righi, 
SOUTH YARRA VIC 3141",SOUTH YARRA,450.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.987153,37.833008
3923,"406/9 Darling Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,450.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.992045,37.835332
3924,"3309/9 Power Street, 
SOUTHBANK VIC 3006",SOUTHBANK,450.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
3925,"11 McLeod Road, 
ST ALBANS VIC 3021",ST ALBANS,450.0,38516.0,6016.5,73.30000000000001,25443.0,0.0,0.0,85.0,119.0,44.0,202.0,19.0,122.0,14.0,40.0,10617.0,2344.0,1412.0,653.0,4479.0,399.0,1399.0,144.783261,37.736075
3926,"1/104 William Street, 
ST ALBANS VIC 3021",ST ALBANS,450.0,38516.0,6016.5,73.30000000000001,25443.0,0.0,0.0,85.0,119.0,44.0,202.0,19.0,122.0,14.0,40.0,10617.0,2344.0,1412.0,653.0,4479.0,399.0,1399.0,144.801937,37.735822
3927,"4/22 Henry Street, 
ST ALBANS VIC 3021",ST ALBANS,450.0,38516.0,6016.5,73.30000000000001,25443.0,0.0,0.0,85.0,119.0,44.0,202.0,19.0,122.0,14.0,40.0,10617.0,2344.0,1412.0,653.0,4479.0,399.0,1399.0,144.802149,37.734745
3928,"12 Adeney Street, 
YARRAVILLE VIC 3013",YARRAVILLE,450.0,15653.0,2785.2,37.2,11006.0,0.0,0.0,56.0,98.0,72.0,65.0,29.0,75.0,13.0,45.0,4727.0,1123.0,858.0,462.0,1991.0,55.0,572.0,144.86675,37.816269
3929,"G11/8 Garfield Street, 
RICHMOND VIC 3121",RICHMOND,455.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,144.993542,37.811852
3930,"706/11 Flockhart Street, 
ABBOTSFORD VIC 3067",ABBOTSFORD,460.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,145.007429,37.809104
3931,"1 Carnarvon Court, 
SUNBURY VIC 3429",SUNBURY,450.0,40147.0,768.7,113.3,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,144.751152,37.581337
3932,"2 Lewin Street, 
SUNBURY VIC 3429",SUNBURY,450.0,40147.0,768.7,113.3,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,144.711647,37.587176
3933,"1/61 Pasley Street, 
SUNBURY VIC 3429",SUNBURY,450.0,40147.0,768.7,113.3,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,144.72459,37.57901
3934,"21/6-16 Anderson Road, 
SUNBURY VIC 3429",SUNBURY,450.0,40147.0,768.7,113.3,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,,
3935,"2 Grout Court, 
SUNBURY VIC 3429",SUNBURY,450.0,40147.0,768.7,113.3,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,144.698864,37.587833
3936,"1/5 Aitken Street, 
SUNBURY VIC 3429",SUNBURY,450.0,40147.0,768.7,113.3,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,144.737365,37.584265
3937,"11 Benjamin Street, 
SUNSHINE VIC 3020",SUNSHINE,450.0,40518.0,4987.5,110.2,27212.0,0.0,0.0,109.0,172.0,92.0,244.0,28.0,165.0,21.0,56.0,12057.0,2463.0,832.0,1027.0,4229.0,430.0,1304.0,144.833019,37.793956
3938,"78 Cornwall road, 
SUNSHINE VIC 3020",SUNSHINE,450.0,40518.0,4987.5,110.2,27212.0,0.0,0.0,109.0,172.0,92.0,244.0,28.0,165.0,21.0,56.0,12057.0,2463.0,832.0,1027.0,4229.0,430.0,1304.0,144.84165,37.784144
3939,"25 Sherwood Street, 
TARNEIT VIC 3029",TARNEIT,450.0,18637.0,4123.0,60.2,12389.0,0.0,0.0,52.0,60.0,31.0,102.0,29.0,58.0,9.0,236.0,4934.0,813.0,30.0,760.0,1481.0,44.0,569.0,144.657574,37.837013
3940,"12 Juliet Avenue, 
TARNEIT VIC 3029",TARNEIT,450.0,18637.0,4123.0,60.2,12389.0,0.0,0.0,52.0,60.0,31.0,102.0,29.0,58.0,9.0,236.0,4934.0,813.0,30.0,760.0,1481.0,44.0,569.0,144.654722,37.84081
3941,"30 Celestial Circuit, 
TARNEIT VIC 3029",TARNEIT,450.0,18637.0,4123.0,60.2,12389.0,0.0,0.0,52.0,60.0,31.0,102.0,29.0,58.0,9.0,236.0,4934.0,813.0,30.0,760.0,1481.0,44.0,569.0,144.637345,37.842572
3942,"17 Cardinia Crescent, 
TAYLORS HILL VIC 3037",TAYLORS HILL,450.0,19800.0,3317.7,34.5,13247.0,0.0,0.0,22.0,64.0,57.0,64.0,14.0,77.0,4.0,9.0,5064.0,823.0,0.0,400.0,707.0,82.0,333.0,144.759034,37.718493
3943,"1/23 Chapman Ave, 
THOMASTOWN VIC 3074",THOMASTOWN,450.0,20211.0,1376.3,39.4,12705.0,0.0,0.0,108.0,75.0,82.0,135.0,33.0,74.0,18.0,31.0,6731.0,847.0,515.0,350.0,2087.0,171.0,564.0,145.035208,37.682372
3944,"5/5 Normanby Avenue, 
THORNBURY VIC 3071",THORNBURY,450.0,19152.0,3832.5,37.2,13743.0,0.0,0.0,115.0,140.0,50.0,68.0,23.0,90.0,3.0,51.0,4470.0,2170.0,2366.0,396.0,3299.0,98.0,734.0,144.993008,37.758752
3945,"3/2 Dundas Street, 
THORNBURY VIC 3071",THORNBURY,450.0,19152.0,3832.5,37.2,13743.0,0.0,0.0,115.0,140.0,50.0,68.0,23.0,90.0,3.0,51.0,4470.0,2170.0,2366.0,396.0,3299.0,98.0,734.0,145.004149,37.752584
3946,"1/7 GASCOYNE WAY, 
TRUGANINA VIC 3029",TRUGANINA,460.0,38668.0,6433.6,91.8,26146.0,0.0,0.0,58.0,153.0,77.0,277.0,45.0,172.0,30.0,316.0,10431.0,978.0,40.0,1174.0,3216.0,130.0,1032.0,144.723243,37.845771
3947,"5 Swinburne Court, 
TRUGANINA VIC 3029",TRUGANINA,460.0,38668.0,6433.6,91.8,26146.0,0.0,0.0,58.0,153.0,77.0,277.0,45.0,172.0,30.0,316.0,10431.0,978.0,40.0,1174.0,3216.0,130.0,1032.0,144.725658,37.846752
3948,"6 Arion Road, 
TRUGANINA VIC 3029",TRUGANINA,460.0,38668.0,6433.6,91.8,26146.0,0.0,0.0,58.0,153.0,77.0,277.0,45.0,172.0,30.0,316.0,10431.0,978.0,40.0,1174.0,3216.0,130.0,1032.0,144.722938,37.865801
3949,"50 Verdant Road, 
TRUGANINA VIC 3029",TRUGANINA,460.0,38668.0,6433.6,91.8,26146.0,0.0,0.0,58.0,153.0,77.0,277.0,45.0,172.0,30.0,316.0,10431.0,978.0,40.0,1174.0,3216.0,130.0,1032.0,144.723055,37.857767
3950,"79 Wagner Drive, 
WERRIBEE VIC 3030",WERRIBEE,460.0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,144.630125,37.916774
3951,"18 Impara Rise, 
WERRIBEE VIC 3030",WERRIBEE,460.0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,144.606742,37.899261
3952,"11 Elgata Way, 
WERRIBEE VIC 3030",WERRIBEE,460.0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,144.61187,37.900585
3953,"28 Tindales Road, 
WOLLERT VIC 3750",WOLLERT,460.0,24762.0,459.5,30.7,16395.0,0.0,0.0,71.0,58.0,29.0,104.0,22.0,59.0,9.0,381.0,6847.0,851.0,154.0,391.0,1706.0,50.0,540.0,145.038465,37.610445
3954,"25 Pear Street, 
WYNDHAM VALE VIC 3024",WYNDHAM VALE,460.0,22858.0,2941.3,63.400000000000006,15428.0,0.0,0.0,244.0,50.0,8.0,77.0,17.0,46.0,3.0,219.0,7493.0,345.0,20.0,686.0,2192.0,101.0,651.0,144.61849,37.864996
3955,"12 Brimpton Grove, 
WYNDHAM VALE VIC 3024",WYNDHAM VALE,460.0,22858.0,2941.3,63.400000000000006,15428.0,0.0,0.0,244.0,50.0,8.0,77.0,17.0,46.0,3.0,219.0,7493.0,345.0,20.0,686.0,2192.0,101.0,651.0,144.614998,37.898615
3956,GLENROY VIC 3046,GLENROY,280.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,144.92754,37.70282
3957,"5/62 Kelvinside Road, 
NOBLE PARK VIC 3174",NOBLE PARK,280.0,40239.0,9559.5,110.7,27249.0,0.0,0.0,113.0,105.0,52.0,254.0,31.0,125.0,4.0,38.0,10611.0,2076.0,2758.0,1028.0,5145.0,608.0,1226.0,145.170628,37.954827
3958,"4/1193 Heatherton Road, 
NOBLE PARK VIC 3174",NOBLE PARK,280.0,40239.0,9559.5,110.7,27249.0,0.0,0.0,113.0,105.0,52.0,254.0,31.0,125.0,4.0,38.0,10611.0,2076.0,2758.0,1028.0,5145.0,608.0,1226.0,145.181579,37.965998
3959,"51 Garden Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,280.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.998593,37.843515
3960,"789 Sydney Road, 
COBURG VIC 3058",COBURG,285.0,35372.0,9577.7,112.0,24819.0,0.0,0.0,134.0,266.0,114.0,138.0,53.0,174.0,11.0,70.0,9813.0,3556.0,1545.0,1267.0,4343.0,144.0,1461.0,144.964284,37.731724
3961,"2/17 Lewis Street, 
FRANKSTON VIC 3199",FRANKSTON,285.0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,145.129146,38.139736
3962,"9/515 Sydney Road, 
BRUNSWICK VIC 3056",BRUNSWICK,300.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,,
3963,"3/15-17 DeCarle Street, 
COBURG VIC 3058",COBURG,300.0,35372.0,9577.7,112.0,24819.0,0.0,0.0,134.0,266.0,114.0,138.0,53.0,174.0,11.0,70.0,9813.0,3556.0,1545.0,1267.0,4343.0,144.0,1461.0,,
3964,"49 Koonawarra Street, 
CLAYTON VIC 3168",CLAYTON,290.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,145.124478,37.911745
3965,"2/9 Violet Street, 
ESSENDON VIC 3040",ESSENDON,290.0,12313.0,3464.3,37.4,8783.0,0.0,0.0,43.0,160.0,107.0,53.0,23.0,100.0,4.0,52.0,2256.0,1311.0,2670.0,371.0,2156.0,42.0,625.0,144.913161,37.754288
3966,"1/3 Gordon Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,290.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,144.887993,37.800046
3967,"1/63 Dandenong Road East, 
FRANKSTON VIC 3199",FRANKSTON,290.0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,145.127152,38.141369
3968,"308/20 Peel Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,480.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,144.984732,37.805148
3969,"8 Enfield Place, 
CRAIGIEBURN VIC 3064",CRAIGIEBURN,480.0,57607.0,11196.5,125.9,38853.0,0.0,0.0,161.0,196.0,94.0,272.0,53.0,158.0,19.0,220.0,15458.0,2030.0,204.0,1523.0,4657.0,129.0,1266.0,144.927945,37.599394
3970,"5 Sumar Drive, 
CRAIGIEBURN VIC 3064",CRAIGIEBURN,480.0,57607.0,11196.5,125.9,38853.0,0.0,0.0,161.0,196.0,94.0,272.0,53.0,158.0,19.0,220.0,15458.0,2030.0,204.0,1523.0,4657.0,129.0,1266.0,144.893731,37.573378
3971,"43 Exmouth Road, 
CRAIGIEBURN VIC 3064",CRAIGIEBURN,480.0,57607.0,11196.5,125.9,38853.0,0.0,0.0,161.0,196.0,94.0,272.0,53.0,158.0,19.0,220.0,15458.0,2030.0,204.0,1523.0,4657.0,129.0,1266.0,144.923687,37.605878
3972,"1/8 Fairbairn, 
CRANBOURNE VIC 3977",CRANBOURNE,480.0,122174.0,12938.6,225.6,80567.0,0.0,0.0,535.0,302.0,154.0,481.0,67.0,305.0,25.0,625.0,35593.0,4164.0,409.0,2687.0,9314.0,602.0,2037.0,145.271644,38.109799
3973,"25 Normanby Street, 
CRANBOURNE VIC 3977",CRANBOURNE,480.0,122174.0,12938.6,225.6,80567.0,0.0,0.0,535.0,302.0,154.0,481.0,67.0,305.0,25.0,625.0,35593.0,4164.0,409.0,2687.0,9314.0,602.0,2037.0,145.287591,38.100421
3974,"25 Hatchlands Drive, 
DEER PARK VIC 3023",DEER PARK,480.0,18230.0,2257.1,35.3,11941.0,0.0,0.0,55.0,47.0,29.0,91.0,10.0,54.0,3.0,9.0,5721.0,810.0,55.0,350.0,1717.0,174.0,430.0,144.757161,37.777084
3975,"8/517 Royal Parade, 
PARKVILLE VIC 3052",PARKVILLE,640.0,7446.0,1838.9,26.8,6202.0,0.0,0.0,32.0,213.0,48.0,33.0,13.0,35.0,0.0,10.0,55.0,948.0,1811.0,396.0,1377.0,84.0,447.0,144.959399,37.784179
3976,"37/8 Graham Street, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,640.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,144.932852,37.833464
3977,"98/73 River Street, 
RICHMOND VIC 3121",RICHMOND,640.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,145.012849,37.819482
3978,"5/2 Cromwell Road, 
SOUTH YARRA VIC 3141",SOUTH YARRA,640.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,145.000115,37.844116
